,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
40,26.0,male,Bachelor,75503.0,5,RENT,30000.0,MEDICAL,17.99,0.4,2.0,616,No,1
41,24.0,female,High School,15082.0,0,OWN,2500.0,VENTURE,12.69,0.17,3.0,631,No,1
42,26.0,male,Bachelor,361293.0,5,MORTGAGE,20000.0,VENTURE,7.88,0.06,4.0,684,Yes,0
43,23.0,male,High School,361547.0,0,OWN,24250.0,EDUCATION,19.41,0.07,2.0,637,Yes,0
44,26.0,male,Master,360680.0,5,OWN,10000.0,HOMEIMPROVEMENT,10.38,0.03,4.0,649,No,0
45,26.0,male,Bachelor,360977.0,5,MORTGAGE,25000.0,EDUCATION,15.33,0.07,3.0,695,Yes,0
46,25.0,female,Bachelor,361244.0,2,MORTGAGE,18000.0,HOMEIMPROVEMENT,16.45,0.05,3.0,620,No,0
47,26.0,male,Bachelor,98230.0,2,RENT,30000.0,PERSONAL,7.49,0.31,3.0,622,No,1
48,22.0,female,High School,80838.0,0,RENT,30000.0,MEDICAL,12.69,0.37,3.0,645,No,1
49,26.0,male,Master,107957.0,2,RENT,30000.0,DEBTCONSOLIDATION,6.62,0.28,3.0,654,No,1
50,24.0,female,Bachelor,94649.0,2,RENT,30000.0,DEBTCONSOLIDATION,11.01,0.32,4.0,624,No,1
51,23.0,male,High School,94550.0,1,RENT,30000.0,DEBTCONSOLIDATION,18.62,0.32,3.0,570,No,1
52,23.0,male,Bachelor,111153.0,3,RENT,30000.0,PERSONAL,15.23,0.27,3.0,648,No,1
53,23.0,female,Associate,117250.0,0,RENT,30000.0,VENTURE,10.65,0.26,2.0,652,No,1
54,25.0,male,Bachelor,144985.0,3,RENT,30000.0,EDUCATION,7.9,0.21,4.0,559,No,0
55,26.0,male,High School,337133.0,7,RENT,10000.0,PERSONAL,15.96,0.03,3.0,623,Yes,0
56,26.0,male,Associate,333566.0,2,RENT,20000.0,VENTURE,11.48,0.06,3.0,602,Yes,0
57,23.0,male,Bachelor,333399.0,1,OWN,35000.0,PERSONAL,11.01,0.1,4.0,609,No,0
58,25.0,male,Master,154793.0,1,RENT,30000.0,PERSONAL,7.29,0.19,4.0,573,Yes,0
59,24.0,male,Associate,15229.0,1,OWN,1750.0,VENTURE,11.01,0.11,3.0,631,Yes,0
60,21.0,female,Bachelor,158338.0,0,RENT,30000.0,VENTURE,5.99,0.19,4.0,623,Yes,0
61,22.0,female,Bachelor,331034.0,0,OWN,12000.0,VENTURE,11.58,0.04,2.0,602,Yes,0
62,26.0,female,High School,316466.0,6,MORTGAGE,10000.0,EDUCATION,11.01,0.03,4.0,579,No,1
63,25.0,female,Associate,267671.0,0,MORTGAGE,25000.0,MEDICAL,15.7,0.09,2.0,582,No,1
64,22.0,male,Master,85191.0,0,RENT,29100.0,EDUCATION,15.99,0.34,3.0,700,No,1
65,22.0,male,Associate,15013.0,0,MORTGAGE,1500.0,EDUCATION,14.84,0.1,3.0,688,No,0
66,26.0,male,Bachelor,313100.0,3,OWN,28000.0,HOMEIMPROVEMENT,10.99,0.09,3.0,607,Yes,0
67,25.0,female,Bachelor,311952.0,0,MORTGAGE,20000.0,HOMEIMPROVEMENT,14.42,0.06,2.0,661,Yes,0
68,24.0,male,High School,306897.0,5,MORTGAGE,9600.0,EDUCATION,6.99,0.03,2.0,562,Yes,0
69,25.0,female,Bachelor,301136.0,0,RENT,25000.0,MEDICAL,13.49,0.08,4.0,664,Yes,0
70,25.0,male,High School,15162.0,1,OWN,3000.0,MEDICAL,11.01,0.2,3.0,564,No,1
71,22.0,male,Associate,69042.0,0,RENT,28000.0,MEDICAL,11.01,0.41,2.0,598,No,1
72,21.0,female,High School,15307.0,0,OWN,3000.0,EDUCATION,13.61,0.2,3.0,557,No,1
73,23.0,female,Associate,79183.0,0,RENT,28000.0,EDUCATION,7.9,0.35,2.0,677,No,1
74,26.0,male,Bachelor,102654.0,4,RENT,28000.0,VENTURE,7.49,0.27,3.0,690,No,1
75,26.0,male,Associate,15229.0,1,OWN,6100.0,EDUCATION,7.51,0.4,3.0,599,No,1
76,22.0,male,High School,106566.0,0,RENT,28000.0,VENTURE,9.91,0.26,3.0,604,No,1
77,21.0,female,Bachelor,15252.0,0,OWN,4200.0,PERSONAL,13.48,0.28,4.0,663,No,1
78,22.0,male,Bachelor,15432.0,3,OWN,4750.0,DEBTCONSOLIDATION,7.14,0.31,2.0,601,No,1
79,24.0,male,High School,100332.0,1,RENT,28000.0,VENTURE,15.99,0.28,4.0,634,No,1
80,24.0,male,Bachelor,300951.0,2,RENT,18000.0,EDUCATION,12.98,0.06,3.0,671,No,0
81,144.0,male,Bachelor,300616.0,125,RENT,4800.0,VENTURE,13.57,0.02,3.0,789,No,0
82,25.0,female,Bachelor,121062.0,1,RENT,28000.0,DEBTCONSOLIDATION,12.69,0.23,3.0,622,No,0
83,26.0,male,Associate,133372.0,1,RENT,28000.0,EDUCATION,8.9,0.21,2.0,538,Yes,0
84,26.0,male,Bachelor,15505.0,0,OWN,2700.0,DEBTCONSOLIDATION,11.01,0.17,4.0,587,No,1
85,22.0,male,Master,130852.0,0,RENT,28000.0,EDUCATION,11.01,0.21,4.0,683,No,1
86,23.0,male,Associate,182316.0,0,RENT,28000.0,DEBTCONSOLIDATION,11.11,0.15,2.0,634,Yes,0
87,24.0,female,Bachelor,83853.0,3,RENT,27600.0,HOMEIMPROVEMENT,11.01,0.33,2.0,690,No,1
88,21.0,female,Bachelor,15394.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,15.68,0.21,3.0,518,No,1
89,22.0,female,Bachelor,85243.0,0,RENT,27500.0,EDUCATION,13.06,0.32,3.0,583,No,1
90,22.0,male,Associate,288907.0,2,OWN,25000.0,PERSONAL,11.01,0.09,2.0,617,Yes,0
91,26.0,male,Associate,89074.0,4,RENT,27050.0,VENTURE,15.62,0.3,2.0,668,No,1
92,24.0,male,Master,100509.0,2,RENT,27000.0,PERSONAL,13.49,0.27,2.0,673,No,1
93,24.0,male,High School,88950.0,3,RENT,27000.0,VENTURE,11.01,0.3,3.0,706,No,1
94,23.0,female,High School,75894.0,1,RENT,26000.0,MEDICAL,11.71,0.34,2.0,536,No,1
95,23.0,male,Associate,145092.0,0,RENT,25600.0,EDUCATION,12.69,0.18,3.0,557,Yes,0
96,24.0,female,Bachelor,15928.0,1,OWN,1600.0,MEDICAL,13.57,0.1,3.0,689,Yes,0
97,22.0,male,Bachelor,73131.0,3,RENT,25475.0,VENTURE,10.99,0.35,3.0,681,No,1
98,25.0,male,Master,281501.0,4,MORTGAGE,20000.0,MEDICAL,14.27,0.07,4.0,623,Yes,0
99,24.0,female,Associate,281775.0,0,OWN,20000.0,HOMEIMPROVEMENT,8.88,0.07,4.0,595,Yes,0
100,26.0,male,Bachelor,281792.0,1,MORTGAGE,21600.0,HOMEIMPROVEMENT,12.18,0.08,3.0,584,Yes,0
101,25.0,male,Bachelor,266090.0,4,MORTGAGE,11900.0,DEBTCONSOLIDATION,14.42,0.04,3.0,669,No,1
102,26.0,male,High School,279664.0,3,MORTGAGE,25000.0,MEDICAL,14.17,0.09,2.0,642,Yes,0
103,25.0,female,High School,277017.0,4,MORTGAGE,35000.0,MEDICAL,13.99,0.13,4.0,622,Yes,0
104,23.0,male,Associate,100756.0,0,RENT,25300.0,EDUCATION,10.99,0.25,3.0,689,No,1
105,22.0,male,High School,16218.0,1,MORTGAGE,2000.0,PERSONAL,5.42,0.12,4.0,614,No,1
106,25.0,female,Bachelor,16211.0,2,OWN,1750.0,PERSONAL,13.61,0.11,3.0,597,Yes,0
107,21.0,female,Bachelor,51922.0,3,RENT,25000.0,EDUCATION,12.73,0.48,3.0,673,No,1
108,24.0,male,Associate,50309.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.5,3.0,625,No,1
109,25.0,male,High School,16378.0,0,OWN,3000.0,DEBTCONSOLIDATION,12.87,0.18,4.0,603,No,1
110,24.0,male,Bachelor,16572.0,0,MORTGAGE,3650.0,HOMEIMPROVEMENT,9.91,0.22,3.0,589,No,1
111,26.0,male,Master,272201.0,5,MORTGAGE,20000.0,HOMEIMPROVEMENT,11.49,0.07,4.0,670,Yes,0
112,25.0,female,Bachelor,271324.0,3,MORTGAGE,30000.0,HOMEIMPROVEMENT,19.91,0.11,2.0,637,Yes,0
113,26.0,male,Associate,256862.0,2,MORTGAGE,35000.0,EDUCATION,10.65,0.14,2.0,643,No,1
114,24.0,male,High School,271342.0,0,RENT,6000.0,MEDICAL,11.01,0.02,4.0,508,Yes,0
115,24.0,male,High School,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,11.83,0.27,4.0,643,No,1
116,23.0,male,High School,16599.0,0,OWN,2400.0,DEBTCONSOLIDATION,13.49,0.14,2.0,505,No,1
117,22.0,male,Bachelor,51608.0,0,RENT,25000.0,MEDICAL,14.59,0.48,2.0,593,No,1
118,26.0,female,Master,58516.0,6,RENT,25000.0,EDUCATION,9.64,0.43,4.0,686,No,1
119,25.0,female,Associate,16395.0,4,OWN,3600.0,MEDICAL,14.59,0.22,3.0,646,No,1
120,22.0,female,Bachelor,16890.0,0,OWN,4750.0,EDUCATION,11.01,0.28,3.0,645,No,1
121,25.0,female,Associate,51747.0,3,RENT,25000.0,EDUCATION,16.35,0.48,3.0,697,No,1
122,21.0,male,High School,59864.0,0,RENT,25000.0,EDUCATION,10.99,0.42,2.0,648,No,1
123,25.0,male,Master,270972.0,1,MORTGAGE,25000.0,VENTURE,18.67,0.09,2.0,640,Yes,0
124,26.0,male,Bachelor,270870.0,5,RENT,3000.0,EDUCATION,9.32,0.01,4.0,681,No,0
125,23.0,female,Associate,270729.0,0,RENT,7500.0,DEBTCONSOLIDATION,8.63,0.03,2.0,646,No,0
126,26.0,male,Bachelor,270877.0,4,MORTGAGE,25000.0,VENTURE,10.08,0.09,2.0,615,Yes,0
127,22.0,male,Associate,60501.0,0,RENT,25000.0,PERSONAL,11.83,0.41,3.0,687,No,1
128,23.0,male,High School,60754.0,1,RENT,25000.0,DEBTCONSOLIDATION,7.9,0.41,3.0,650,No,1
129,25.0,male,Bachelor,60829.0,0,RENT,25000.0,HOMEIMPROVEMENT,5.99,0.41,2.0,588,No,1
130,24.0,male,Bachelor,53825.0,2,RENT,25000.0,DEBTCONSOLIDATION,15.33,0.46,2.0,652,No,1
131,23.0,male,High School,60801.0,0,RENT,25000.0,VENTURE,11.83,0.41,4.0,658,No,1
132,22.0,male,High School,60747.0,0,RENT,25000.0,VENTURE,10.36,0.41,2.0,634,No,1
133,22.0,female,High School,61029.0,0,RENT,25000.0,VENTURE,12.23,0.41,3.0,623,No,1
134,22.0,female,Associate,63236.0,0,RENT,25000.0,EDUCATION,11.11,0.4,4.0,635,No,1
135,23.0,female,Bachelor,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,7.9,0.29,4.0,531,No,1
136,24.0,female,Master,265066.0,4,MORTGAGE,25000.0,EDUCATION,11.58,0.09,2.0,665,Yes,0
137,23.0,male,Associate,260205.0,2,MORTGAGE,21000.0,DEBTCONSOLIDATION,8.9,0.08,3.0,703,No,0
138,25.0,female,Associate,260035.0,5,MORTGAGE,25000.0,EDUCATION,16.07,0.1,3.0,585,Yes,0
139,26.0,female,Bachelor,260444.0,4,MORTGAGE,20000.0,EDUCATION,14.22,0.08,2.0,594,No,0
140,23.0,male,Bachelor,258980.0,0,MORTGAGE,35000.0,MEDICAL,14.79,0.14,3.0,618,Yes,0
141,26.0,male,High School,259081.0,2,MORTGAGE,12000.0,EDUCATION,7.88,0.05,2.0,626,Yes,0
142,23.0,male,High School,63497.0,0,RENT,25000.0,PERSONAL,13.22,0.39,2.0,695,No,1
143,26.0,female,Doctorate,56325.0,2,RENT,25000.0,DEBTCONSOLIDATION,11.86,0.44,4.0,690,No,1
144,22.0,male,Bachelor,64842.0,0,RENT,25000.0,EDUCATION,13.43,0.39,4.0,574,No,1
145,26.0,female,High School,57856.0,0,RENT,25000.0,HOMEIMPROVEMENT,15.28,0.43,2.0,602,No,1
146,23.0,male,Associate,57318.0,0,RENT,25000.0,VENTURE,17.93,0.44,2.0,679,No,1
147,23.0,female,High School,16916.0,2,MORTGAGE,1400.0,EDUCATION,9.25,0.08,4.0,615,No,0
148,21.0,male,Master,16664.0,0,OWN,4500.0,VENTURE,12.98,0.27,4.0,601,No,1
149,22.0,male,Associate,252803.0,0,MORTGAGE,16000.0,VENTURE,10.62,0.06,4.0,577,Yes,0
150,26.0,female,Associate,253061.0,3,OWN,22000.0,PERSONAL,11.83,0.09,4.0,588,Yes,0
151,26.0,male,Bachelor,58602.0,8,RENT,25000.0,VENTURE,18.43,0.43,2.0,595,No,1
152,22.0,male,High School,67012.0,2,RENT,25000.0,EDUCATION,11.01,0.37,4.0,653,No,1
153,24.0,female,Master,66643.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.38,4.0,663,No,1
154,23.0,male,Bachelor,66599.0,0,RENT,25000.0,EDUCATION,11.36,0.38,3.0,653,No,1
155,23.0,male,Associate,67212.0,2,RENT,25000.0,EDUCATION,15.65,0.37,3.0,598,No,1
156,24.0,female,High School,66918.0,1,RENT,25000.0,PERSONAL,13.22,0.37,4.0,630,No,1
157,26.0,male,Associate,68066.0,2,RENT,25000.0,DEBTCONSOLIDATION,12.87,0.37,2.0,637,No,1
158,24.0,male,Associate,245545.0,1,OWN,20000.0,MEDICAL,13.04,0.08,3.0,660,Yes,0
159,23.0,male,Associate,229083.0,0,MORTGAGE,22000.0,EDUCATION,17.58,0.1,3.0,639,No,1
160,23.0,male,High School,17859.0,0,OWN,7750.0,PERSONAL,17.04,0.43,4.0,626,No,1
161,24.0,female,Associate,72608.0,3,RENT,25000.0,PERSONAL,10.99,0.34,3.0,612,No,1
162,24.0,male,Bachelor,73073.0,1,RENT,25000.0,PERSONAL,11.11,0.34,3.0,628,No,1
163,26.0,female,Master,65880.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.83,0.38,2.0,592,No,1
164,23.0,male,High School,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,11.01,0.23,3.0,580,No,1
165,24.0,male,Bachelor,241180.0,3,RENT,12000.0,MEDICAL,12.69,0.05,2.0,634,No,0
166,24.0,male,Associate,240894.0,3,MORTGAGE,12000.0,HOMEIMPROVEMENT,13.49,0.05,2.0,678,No,0
167,21.0,male,High School,240980.0,0,MORTGAGE,16000.0,EDUCATION,14.65,0.07,4.0,557,Yes,0
168,25.0,male,Bachelor,65742.0,3,RENT,25000.0,HOMEIMPROVEMENT,16.82,0.38,4.0,672,No,1
169,23.0,male,Bachelor,72713.0,0,RENT,25000.0,PERSONAL,12.73,0.34,3.0,613,No,1
170,23.0,male,High School,72627.0,3,RENT,25000.0,PERSONAL,10.25,0.34,4.0,566,No,1
171,21.0,male,Associate,72843.0,0,RENT,25000.0,EDUCATION,10.99,0.34,4.0,718,No,1
172,25.0,male,High School,75504.0,4,RENT,25000.0,MEDICAL,12.73,0.33,2.0,484,No,1
173,22.0,female,High School,68824.0,0,RENT,25000.0,HOMEIMPROVEMENT,14.96,0.36,3.0,634,No,1
174,23.0,female,Bachelor,241167.0,2,MORTGAGE,28000.0,EDUCATION,11.01,0.12,2.0,653,Yes,0
175,21.0,male,Bachelor,241060.0,0,MORTGAGE,25000.0,DEBTCONSOLIDATION,13.99,0.1,2.0,699,No,0
176,24.0,male,High School,240855.0,0,MORTGAGE,24000.0,VENTURE,7.49,0.1,4.0,656,Yes,0
177,26.0,male,High School,241030.0,3,MORTGAGE,15000.0,EDUCATION,14.79,0.06,3.0,626,Yes,0
178,25.0,male,High School,240895.0,2,MORTGAGE,15500.0,DEBTCONSOLIDATION,11.99,0.06,2.0,659,No,0
179,24.0,female,High School,240932.0,4,RENT,10000.0,EDUCATION,8.49,0.04,4.0,604,Yes,0
180,24.0,male,Associate,80145.0,1,RENT,25000.0,EDUCATION,9.91,0.31,2.0,636,No,1
181,22.0,male,Master,80303.0,0,RENT,25000.0,EDUCATION,13.06,0.31,3.0,554,No,1
182,22.0,male,High School,241048.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,6.17,0.04,4.0,587,Yes,0
183,144.0,male,Associate,241424.0,121,MORTGAGE,6000.0,EDUCATION,11.86,0.02,2.0,807,No,0
184,25.0,male,Bachelor,241005.0,4,RENT,18000.0,EDUCATION,16.32,0.07,3.0,708,Yes,0
185,25.0,female,Master,240768.0,2,MORTGAGE,12000.0,VENTURE,10.38,0.05,2.0,669,Yes,0
186,25.0,male,Associate,241201.0,2,MORTGAGE,23050.0,PERSONAL,14.35,0.1,3.0,578,No,0
187,24.0,male,Bachelor,240920.0,5,MORTGAGE,20000.0,DEBTCONSOLIDATION,11.01,0.08,3.0,615,No,0
188,24.0,female,Master,72919.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.34,2.0,553,No,1
189,21.0,male,Master,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,11.01,0.17,4.0,635,No,1
190,26.0,female,Associate,81238.0,3,RENT,25000.0,PERSONAL,15.21,0.31,2.0,531,No,1
191,23.0,male,High School,80868.0,1,RENT,25000.0,EDUCATION,7.9,0.31,4.0,621,No,1
192,24.0,male,Bachelor,81537.0,1,RENT,25000.0,VENTURE,10.99,0.31,3.0,674,No,1
193,24.0,female,Associate,82741.0,0,RENT,25000.0,PERSONAL,14.09,0.3,3.0,688,No,1
194,25.0,female,High School,83901.0,3,RENT,25000.0,PERSONAL,17.49,0.3,2.0,597,No,1
195,25.0,male,Associate,240717.0,1,MORTGAGE,12000.0,EDUCATION,11.48,0.05,3.0,640,No,0
196,26.0,female,Associate,226744.0,0,MORTGAGE,20000.0,VENTURE,17.74,0.09,2.0,621,No,1
197,26.0,female,Bachelor,241114.0,5,MORTGAGE,3000.0,PERSONAL,13.92,0.01,3.0,608,Yes,0
198,25.0,male,Bachelor,85284.0,3,RENT,25000.0,EDUCATION,15.21,0.29,3.0,653,No,1
199,22.0,female,Bachelor,18152.0,0,OWN,4000.0,MEDICAL,10.99,0.22,3.0,585,No,1
200,24.0,female,High School,84871.0,3,RENT,25000.0,EDUCATION,11.86,0.29,4.0,569,No,1
201,24.0,male,Bachelor,18294.0,2,OWN,6000.0,PERSONAL,7.49,0.33,3.0,587,No,1
202,24.0,male,Bachelor,68029.0,1,RENT,25000.0,MEDICAL,16.49,0.37,4.0,631,No,1
203,25.0,female,High School,80001.0,4,RENT,25000.0,VENTURE,15.33,0.31,2.0,592,No,1
204,26.0,female,High School,79875.0,6,RENT,25000.0,HOMEIMPROVEMENT,11.58,0.31,4.0,679,No,1
205,25.0,male,High School,18449.0,1,OWN,5375.0,EDUCATION,5.79,0.29,2.0,645,No,1
206,25.0,male,Associate,88153.0,0,RENT,25000.0,MEDICAL,13.11,0.28,2.0,669,No,1
207,23.0,female,Bachelor,90109.0,0,RENT,25000.0,MEDICAL,10.36,0.28,3.0,653,No,1
208,25.0,male,Bachelor,90938.0,1,RENT,25000.0,DEBTCONSOLIDATION,10.36,0.27,2.0,577,No,1
209,24.0,male,High School,231335.0,0,RENT,22000.0,MEDICAL,11.01,0.1,2.0,668,Yes,0
210,21.0,male,Bachelor,231829.0,0,MORTGAGE,20000.0,VENTURE,6.54,0.09,4.0,629,No,0
211,25.0,female,Associate,230516.0,4,MORTGAGE,10000.0,MEDICAL,12.53,0.04,4.0,643,No,0
212,26.0,male,Bachelor,229626.0,0,MORTGAGE,15000.0,PERSONAL,11.01,0.07,3.0,626,No,0
213,22.0,male,Bachelor,228907.0,0,MORTGAGE,10000.0,VENTURE,11.01,0.04,3.0,560,Yes,0
214,24.0,male,Bachelor,90938.0,0,RENT,25000.0,EDUCATION,10.25,0.27,4.0,648,No,1
215,22.0,male,Associate,86284.0,0,RENT,25000.0,EDUCATION,15.95,0.29,4.0,648,No,1
216,26.0,male,Associate,228774.0,3,MORTGAGE,20000.0,VENTURE,12.18,0.09,4.0,669,Yes,0
217,23.0,male,High School,229027.0,2,OWN,24000.0,PERSONAL,11.83,0.1,3.0,536,Yes,0
218,23.0,male,High School,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.26,2.0,548,No,1
219,23.0,female,Master,94780.0,0,RENT,25000.0,VENTURE,10.62,0.26,3.0,667,No,1
220,23.0,male,High School,95298.0,0,RENT,25000.0,VENTURE,10.74,0.26,3.0,676,No,1
221,25.0,male,Associate,223944.0,1,OWN,10000.0,VENTURE,10.25,0.04,4.0,570,Yes,0
222,24.0,male,High School,222629.0,0,MORTGAGE,35000.0,EDUCATION,12.42,0.16,2.0,623,No,0
223,25.0,female,Bachelor,222973.0,2,RENT,15000.0,VENTURE,15.27,0.07,2.0,652,Yes,0
224,24.0,female,High School,75240.0,1,RENT,25000.0,MEDICAL,15.33,0.33,2.0,625,No,1
225,23.0,female,High School,96143.0,1,RENT,25000.0,VENTURE,15.21,0.26,2.0,642,No,1
226,21.0,male,Bachelor,18064.0,0,OWN,6250.0,VENTURE,14.72,0.35,2.0,580,No,1
227,24.0,male,Associate,96627.0,2,RENT,25000.0,PERSONAL,15.7,0.26,2.0,622,No,1
228,24.0,male,Bachelor,96309.0,3,RENT,25000.0,EDUCATION,13.35,0.26,4.0,581,No,1
229,21.0,female,High School,18421.0,1,MORTGAGE,1500.0,MEDICAL,11.01,0.08,4.0,623,No,0
230,24.0,male,Master,96836.0,1,RENT,25000.0,EDUCATION,6.62,0.26,2.0,583,No,1
231,26.0,male,Bachelor,96947.0,4,RENT,25000.0,DEBTCONSOLIDATION,13.61,0.26,4.0,645,No,1
232,22.0,female,Associate,222975.0,2,RENT,25000.0,MEDICAL,11.36,0.11,2.0,593,Yes,0
233,26.0,male,Associate,222985.0,3,OWN,5000.0,PERSONAL,7.68,0.02,2.0,659,Yes,0
234,24.0,female,Bachelor,223064.0,0,RENT,22000.0,HOMEIMPROVEMENT,14.46,0.1,4.0,655,Yes,0
235,23.0,male,Associate,221559.0,2,OWN,2500.0,EDUCATION,11.83,0.01,2.0,583,Yes,0
236,24.0,female,Associate,207712.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.47,0.1,4.0,582,No,1
237,24.0,female,Bachelor,220872.0,1,MORTGAGE,20000.0,MEDICAL,11.49,0.09,3.0,504,Yes,0
238,22.0,male,High School,220518.0,0,MORTGAGE,1000.0,EDUCATION,11.01,0.0,2.0,551,Yes,0
239,25.0,female,Associate,220510.0,1,MORTGAGE,15000.0,PERSONAL,6.03,0.07,3.0,529,Yes,0
240,23.0,female,Bachelor,89818.0,0,RENT,25000.0,DEBTCONSOLIDATION,16.35,0.28,4.0,674,No,1
241,26.0,female,High School,90006.0,4,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.28,4.0,595,No,1
242,25.0,female,High School,98704.0,6,RENT,25000.0,DEBTCONSOLIDATION,7.29,0.25,3.0,597,No,1
243,23.0,male,High School,98967.0,5,RENT,25000.0,MEDICAL,11.36,0.25,3.0,566,No,1
